| Game Title                                                                           | Discount   | Original Price   | Discounted Price   |
|:-------------------------------------------------------------------------------------|:-----------|:-----------------|:-------------------|
| Two Worlds II HD                                                                     | -95%       | $111.89          | $5.16              |
| Sid Meier's Civilization® VI: Vikings Scenario Pack                                  | -91%       | $167.91          | $14.53             |
| Sid Meier's Civilization VI : Platinum Edition                                       | -91%       | $167.91          | $14.54             |
| Sid Meier's Civilization® VI: Persia and Macedon Civilization & Scenario Pack        | -91%       | $167.91          | $14.53             |
| Sid Meier's Civilization® VI: Khmer and Indonesia Civilization & Scenario Pack       | -91%       | $167.91          | $14.53             |
| Sid Meier's Civilization® VI: Nubia Civilization & Scenario Pack                     | -91%       | $167.91          | $14.53             |
| Sid Meier's Civilization® VI: Poland Civilization & Scenario Pack                    | -91%       | $167.91          | $14.53             |
| Sid Meier's Civilization® VI: Australia Civilization & Scenario Pack                 | -91%       | $167.91          | $14.53             |
| Warhammer: End Times - Vermintide                                                    | -90%       | $29.99           | $2.99              |
| Sid Meier’s Civilization® VI                                                         | -90%       | $59.99           | $5.99              |
| RPG Maker VX Ace                                                                     | -90%       | $69.99           | $6.99              |
| Painkiller Hell & Damnation                                                          | -90%       | $19.99           | $1.99              |
| Bomber Crew                                                                          | -90%       | $19.99           | $1.99              |
| The Beast Inside                                                                     | -90%       | $24.99           | $2.49              |
| RPG Maker XP                                                                         | -90%       | $24.99           | $2.49              |
| Cyber Hook                                                                           | -88%       | $20.98           | $2.51              |
| Sid Meier's Civilization® VI: Gathering Storm                                        | -88%       | $39.99           | $4.79              |
| Space Crew: LE & Bomber Crew Deluxe Bundle                                           | -86%       | $79.92           | $10.83             |
| Sid Meier’s Civilization® VI Anthology                                               | -86%       | $209.85          | $29.72             |
| Iratus: Lord of the Dead                                                             | -85%       | $29.99           | $4.49              |
| LEGO® DC Super-Villains                                                              | -85%       | $39.99           | $5.99              |
| LEGO® Marvel Collection                                                              | -85%       | $115.76          | $16.82             |
| Beholder                                                                             | -85%       | $9.99            | $1.49              |
| LEGO® The Incredibles                                                                | -85%       | $39.99           | $5.99              |
| Shenmue III                                                                          | -85%       | $29.99           | $4.49              |
| RPG Maker MV                                                                         | -85%       | $79.99           | $11.99             |
| Killing Floor Franchise Bundle                                                       | -83%       | $217.76          | $36.30             |
| Sid Meier’s Civilization® VI: Rise and Fall                                          | -83%       | $29.99           | $5.09              |
| Iron Harvest - Iron Harvest 1920+                                                    | -82%       | $53.97           | $9.89              |
| Iron Harvest Deluxe Edition                                                          | -82%       | $53.97           | $9.88              |
| Outward - The Soroboreans                                                            | -80%       | $14.99           | $2.99              |
| The Surge 1 & 2 - Dual Pack                                                          | -80%       | $44.98           | $9.22              |
| LEGO® City Undercover                                                                | -80%       | $19.99           | $3.99              |
| Vampyr                                                                               | -80%       | $39.99           | $7.99              |
| Fury Unleashed                                                                       | -80%       | $19.99           | $3.99              |
| Iron Harvest                                                                         | -80%       | $29.99           | $5.99              |
| Oxenfree                                                                             | -80%       | $9.99            | $1.99              |
| My Time At Portia                                                                    | -80%       | $29.99           | $5.99              |
| Pixel Game Maker MV                                                                  | -80%       | $84.99           | $16.99             |
| Almighty: Kill Your Gods Ancestor Edition                                            | -80%       | $42.97           | $8.58              |
| A Way Out                                                                            | -80%       | $29.99           | $5.99              |
| The LEGO Movie 2 Videogame                                                           | -80%       | $29.99           | $5.99              |
