Game Title,Discount,Original Price,Discounted Price
Dead by Daylight,-60%,$19.99,$7.99
Tom Clancy's Rainbow Six® Siege,-60%,$19.99,$7.99
Red Dead Redemption 2,-67%,$59.99,$19.79
FOR HONOR™,-80%,$14.99,$2.99
Grand Theft Auto V,-63%,$39.98,$14.99
Call of Duty®: Black Ops III,-67%,$59.99,$19.79
Grand Theft Auto V: Premium Edition,-63%,$39.98,$14.99
HITMAN 3,-50%,$69.99,$34.99
Hunt: Showdown,-60%,$39.99,$15.99
Let's School,-10%,$19.99,$17.99
Assassin's Creed Valhalla,-75%,$59.99,$14.99
Half-Life: Alyx,-66%,$59.99,$20.39
Tom Clancy's Ghost Recon® Breakpoint,-80%,$59.99,$11.99
Sid Meier’s Civilization® VI,-90%,$59.99,$5.99
Call of Duty®: Black Ops II,-67%,$59.99,$19.79
Aliens: Dark Descent,-20%,$39.99,$31.99
Sniper Elite 5,-66%,$49.99,$16.99
Batman™: Arkham Knight,-80%,$19.99,$3.99
Far Cry® 6,-75%,$59.99,$14.99
Assassin's Creed Bundle,-79%,$414.88,$87.86
Shadows of Doubt,-20%,$19.99,$15.99
Assassin's Creed® Odyssey,-80%,$59.99,$11.99
Tom Clancy's Ghost Recon® Wildlands,-80%,$49.99,$9.99
Batman: Arkham Collection,-85%,$59.99,$8.99
F1® 23,-40%,$89.99,$53.99
Borderlands 3,-85%,$59.99,$8.99
Generation Zero®,-70%,$24.99,$7.49
Sid Meier’s Civilization® VI Anthology,-86%,$209.85,$29.72
Arma 3 Creator DLC: Spearhead 1944,-10%,$17.99,$16.19
Dying Light 2 Stay Human,-50%,$59.99,$29.99
MONSTER HUNTER RISE,-60%,$39.99,$15.99
Call of Duty®: Black Ops Cold War,-67%,$59.99,$19.79
Assassin's Creed® Origins,-85%,$59.99,$8.99
Borderlands 3 Ultimate Edition,-89%,$254.80,$28.56
The Witcher 3: Wild Hunt - Complete Edition,-70%,$49.99,$14.99
Far Cry® 5,-85%,$59.99,$8.99
Assassin’s Creed® IV Black Flag™,-70%,$39.99,$11.99
Two Point Campus,-50%,$29.99,$14.99
Heavenly Bodies,-50%,$19.99,$9.99
